LTWP - Solar,,,,,,,,
Balances and main results,,,,,,,,
,GlobHor,DiffHor,T_Amb,GlobInc,GlobEff,EArray,E_Grid,PR
,kWh/m,kWh/m,캜,kWh/m,kWh/m,kWh,kWh,ratio
January,191.6,51.15,26.81,262.7,260.9,17698225,17500167,0.86
February,183.1,49,27.76,247.8,246.4,16636440,16455350,0.857
March,201.2,60.76,27.91,268.2,266.5,17883717,17678157,0.851
April,183,60,27.02,242.8,241.1,16383763,16190494,0.86
May,184.8,56.11,26.93,245.7,244,16667001,16474100,0.865
June,171,52.5,26.53,225.5,223.9,15378037,15201727,0.87
July,179.8,54.87,26.2,238.5,236.7,16287197,16102835,0.871
August,192.5,56.73,26.49,257.2,255.6,17488453,17288207,0.867
September,201.3,55.2,26.99,273.5,272.1,18379771,18164151,0.857
October,194.1,58.59,26.67,260.9,259.1,17539075,17338438,0.857
November,169.8,56.4,25.51,223,221,15062834,14890676,0.862
December,179.2,53.01,25.73,239.3,237.3,16238531,16052075,0.866
Year,2231.3,664.32,26.71,2985.1,2964.6,201643044,199336378,0.862
